<ticker>,<date>,<open>,<high>,<low>,<close>,<volume>
WC,150619,493.25,493.25,492.50,492.50,63604
WC,150622,492.50,506.00,492.50,506.00,63604
WC,150623,509.00,527.00,509.00,527.00,83987
WC,150624,523.00,527.00,521.00,523.25,83987
WC,150625,533.00,539.00,533.00,538.00,82354
WC,150626,566.00,568.00,538.00,568.00,176120
WC,150629,582.00,583.50,568.00,583.50,176120
WC,150630,616.00,618.00,583.50,615.75,152061
WC,150701,580.00,588.50,580.00,588.50,150145
WC,150702,591.00,591.00,588.00,590.50,131618
WC,150703,590.50,590.50,590.50,590.50,0
WC,150706,590.50,595.50,590.50,595.50,96341
WC,150707,595.50,595.50,585.25,585.25,96341
WC,150708,585.25,585.25,577.50,577.50,88994
WC,150709,577.50,578.00,577.50,578.00,64575
WC,150710,578.00,578.00,576.00,576.00,82840
WC,150713,576.00,576.00,575.75,575.75,82840
WC,150714,575.75,575.75,571.00,571.00,63921
WC,150715,571.00,571.00,566.75,566.75,73106
WC,150716,566.75,566.75,562.25,562.25,73106
WC,150717,562.25,562.25,554.00,554.00,66022
WC,150720,554.00,554.00,532.75,532.75,66022
WC,150721,532.75,532.75,524.75,524.75,71225
WC,150722,524.75,524.75,516.75,516.75,71935
WC,150723,516.75,521.50,516.75,521.50,71935
WC,150724,521.50,521.50,511.75,511.75,55254
WC,150727,511.75,511.75,502.50,502.50,61326
WC,150728,502.50,510.75,502.50,510.75,78774
WC,150729,510.75,510.75,496.25,496.25,78774
WC,150730,496.25,496.50,496.25,496.50,69188
WC,150731,496.50,499.25,496.50,499.25,69188
WC,150803,499.25,499.25,499.00,499.00,64474
WC,150804,499.00,499.00,493.50,493.50,63486
WC,150805,493.50,502.00,493.50,502.00,67497
WC,150806,502.00,507.00,502.00,507.00,89887
WC,150807,507.00,510.50,507.00,510.50,89887
WC,150810,510.50,525.50,510.50,525.50,89220
WC,150811,525.50,525.50,507.25,507.25,95677
WC,150812,507.25,507.25,492.25,492.25,103263
WC,150813,492.25,503.25,492.25,503.25,103263
WC,150814,503.25,506.50,503.25,506.50,71663
WC,150817,511.75,511.75,504.50,504.50,52354
